,Contact ID,Average Pageviews,Number of Pageviews,Number of Sessions,IP Country,url0,url1,url2,url3
1423,2039,1,1,1,germany,4,0,0,0
1424,2054,1,1,1,netherlands,7,0,0,0
1449,2507,1,3,2,india,14,7,5,0
1454,2528,1,2,2,united states,3,0,0,0
1460,2573,1,1,1,uganda,3,0,0,0
1463,2630,2,2,1,united states,5,0,0,0
1464,2637,1,1,1,denmark,3,0,0,0
1475,2700,2,32,15,united states,3,3,3,2
1476,2704,1,1,1,united kingdom,3,0,0,0
1485,2830,0,0,1,india,4,0,0,0
1488,2853,2,2,1,finland,3,0,0,0
1496,2971,1,2,2,india,3,1,0,0
1500,3087,1,1,1,pakistan,5,0,0,0
1504,3211,1,15,12,canada,7,3,1,3
1509,3269,1,10,9,australia,3,3,7,3
1516,3402,1,3,3,argentina,5,3,0,0
1522,3524,2,18,9,austria,7,1,1,1
1525,3601,1,2,2,india,3,3,0,0
1528,3636,3,6,2,united states,5,0,0,0
1533,3733,2,147,59,india,2,4,2,4
1551,4442,1,2,2,united states,4,0,0,0
1554,4462,2,2,1,canada,6,0,0,0
1579,8770,1,1,1,india,1,0,0,0
1584,9252,0,0,1,united states,4,0,0,0
1608,10050,1,3,2,united states,3,0,0,0
1612,10174,4,8,2,germany,3,6,0,0
1613,10180,2,4,2,united states,3,0,0,0
1615,10208,1,6,6,united states,8,0,0,0
1616,10226,1,4,3,india,3,3,5,0
1617,10232,3,3,1,united states,4,7,3,0
1633,10316,1,2,2,united states,3,0,0,0
1635,10342,2,16,6,netherlands,2,3,5,9
1637,10365,3,3,1,united kingdom,3,0,0,0
1645,10554,2,20,8,india,3,7,3,7
1654,3149,1,2,2,portugal,3,0,0,0
1666,10729,1,18,15,india,2,4,3,0
1674,10861,1,1,1,saudi arabia,3,0,0,0
1676,10885,2,9,4,united states,6,3,3,6
1678,10946,2,2,1,india,2,3,0,0
1688,3503,1,1,1,india,1,0,0,0
1723,4381,1,13,7,india,6,5,7,0
