,Contact ID,Average Pageviews,Number of Pageviews,Number of Sessions,IP Country,url0,url1,url2,url3
196467,10762601,1,1,1,germany,5,0,0,0
196468,10764251,1,5,3,united states,5,14,5,0
196469,10764351,0,0,1,india,5,0,0,0
196470,10776751,1,2,2,colombia,3,5,0,0
196471,10795301,2,2,1,india,5,0,0,0
196472,10847051,5,15,3,united states,5,7,8,9
196473,10851301,2,2,1,united states,5,0,0,0
196474,10881051,1,3,2,united states,7,5,0,0
196475,10883201,1,1,1,united states,7,0,0,0
196479,425706,1,1,1,united states,3,0,0,0
196492,10619001,2,2,1,brazil,2,5,0,0
196494,17961101,1,2,2,united states,3,5,0,0
196495,17968051,2,16,6,india,3,3,6,7
196496,17974401,1,1,1,australia,3,0,0,0
196497,18001501,3,7,2,united states,5,0,0,0
196498,19407651,0,4,5,pakistan,5,0,0,0
196499,19424251,1,1,1,united states,5,0,0,0
196500,425879,1,1,1,canada,3,0,0,0
196501,425885,1,1,1,united states,3,0,0,0
196516,4579101,1,3,2,turkey,4,6,3,0
196517,10619901,1,1,1,germany,1,0,0,0
196518,10909051,1,1,1,taiwan province of china,5,0,0,0
196519,10916951,3,3,1,india,4,5,0,0
196520,10919301,1,2,2,spain,4,0,0,0
196521,10921851,1,1,1,sweden,5,0,0,0
196522,10925201,0,2,3,china,3,5,0,0
196523,10928851,0,0,1,switzerland,5,0,0,0
196526,426281,2,4,2,singapore,6,5,0,0
196528,8608701,2,4,2,nigeria,8,0,0,0
196529,8611751,2,6,3,united states,3,3,2,3
196533,8628201,0,0,1,japan,5,0,0,0
196534,10621301,1,1,1,iran (islamic republic of),5,0,0,0
196535,10638051,1,1,1,turkey,5,0,0,0
196536,10640051,1,1,1,south africa,5,0,0,0
196537,10642951,1,4,3,united states,5,0,0,0
196538,10644451,1,1,1,pakistan,5,0,0,0
196539,10644651,1,1,1,united states,5,0,0,0
196540,10657551,2,55,21,france,7,3,7,11
196541,10659701,1,2,2,turkey,5,0,0,0
196542,10662901,0,0,1,singapore,3,0,0,0
196543,10664801,3,3,1,india,6,5,0,0
196544,10946451,1,3,2,united states,5,0,0,0
196559,10679001,1,1,1,spain,5,0,0,0
196560,10694251,1,1,1,brazil,3,0,0,0
196561,10697201,1,2,2,united states,5,0,0,0
196562,10698951,4,8,2,nigeria,3,9,9,9
196563,10699151,3,7,2,australia,3,3,6,3
196564,10702751,1,1,1,australia,5,0,0,0
196565,10706001,9,9,1,united states,6,4,8,2
196566,10731151,0,0,1,bangladesh,3,0,0,0
196567,10745101,1,1,1,china,5,0,0,0
196568,10745601,1,5,3,united states,5,0,0,0
196569,10748651,4,8,2,spain,3,5,2,2
196584,18017103,2,4,2,ireland,3,5,0,0
196585,18017551,0,0,1,united kingdom,4,0,0,0
196586,18032151,1,1,1,czech republic,5,0,0,0
196587,18039501,2,2,1,canada,5,0,0,0
196588,18043901,5,10,2,india,5,0,0,0
196589,18048451,0,0,1,china,5,0,0,0
196590,18060651,1,1,1,united states,5,0,0,0
196591,18071751,3,3,1,switzerland,1,9,5,0
196592,18101351,3,3,1,united states,4,2,4,0
196595,4237901,2,2,1,germany,3,0,0,0
196596,4241001,1,2,2,italy,5,0,0,0
196598,4260251,1,7,4,canada,8,0,0,0
196600,8038651,1,4,3,united states,4,0,0,0
196601,8045001,2,7,3,spain,3,0,0,0
196606,8054384,1,1,1,denmark,3,0,0,0
196623,10776151,1,5,3,united states,5,0,0,0
196629,10798801,1,1,1,canada,5,0,0,0
196630,10805551,2,2,1,south korea,5,0,0,0
196631,10806501,2,70,29,united arab emirates,6,3,7,6
196632,10821201,1,1,1,turkey,5,0,0,0
196633,10831301,3,3,1,india,5,3,5,0
196634,10832951,1,2,2,india,5,0,0,0
196635,10840051,0,0,1,netherlands,5,0,0,0
196636,10848801,1,4,4,chile,3,5,0,0
196637,10855401,2,2,1,china,6,5,0,0
196638,10859801,1,3,2,canada,7,5,0,0
196639,10862701,2,5,2,united states,6,0,0,0
196640,10864101,1,3,2,ukraine,5,0,0,0
196641,18143701,3,3,1,greece,5,0,0,0
196642,18148201,0,0,1,egypt,5,0,0,0
196643,18155651,3,3,1,united states,5,0,0,0
196673,12174501,2,2,1,canada,3,5,0,0
196682,10986601,1,1,1,united states,4,0,0,0
196683,10997651,1,2,2,united kingdom,3,4,0,0
196684,11007451,2,2,1,united states,5,0,0,0
196685,11021651,1,3,2,india,5,0,0,0
196686,11033001,1,1,1,japan,5,0,0,0
196687,11041601,1,2,2,hong kong,4,0,0,0
196688,11053601,3,3,1,united kingdom,5,0,0,0
196689,11056001,1,2,2,pakistan,7,0,0,0
196690,12179901,2,2,1,nepal,5,0,0,0
196691,12188001,1,1,1,viet nam,5,0,0,0
196692,12192201,1,1,1,thailand,5,0,0,0
196693,12202251,5,5,1,canada,1,0,0,0
196694,12208851,2,2,1,india,5,0,0,0
196695,12208951,0,0,1,india,5,0,0,0
196696,12215401,6,6,1,japan,2,9,1,4
196697,12224101,3,3,1,spain,6,5,0,0
196698,12252701,1,3,3,sweden,3,5,0,0
196699,12254351,5,10,2,united states,6,3,7,5
196704,2053051,0,7,8,hong kong,5,0,0,0
196706,8458551,0,0,1,italy,3,0,0,0
196707,8662251,3,6,2,saudi arabia,5,0,0,0
196709,8670951,1,2,2,macedonia,7,0,0,0
196711,11058601,1,1,1,viet nam,5,0,0,0
196712,11068551,0,0,1,united states,3,0,0,0
196713,11068651,3,3,1,argentina,4,0,0,0
196714,11071651,2,2,1,united states,5,0,0,0
196715,11077051,2,2,1,brazil,4,0,0,0
196716,12256751,2,16,8,singapore,3,5,0,0
196717,12261852,1,1,1,sweden,7,0,0,0
196718,12264901,1,1,1,sri lanka,5,0,0,0
196719,12266101,2,2,1,brazil,5,0,0,0
196720,3034251,3,12,4,united states,2,4,8,9
196724,3112451,2,10,5,singapore,5,0,0,0
196731,4756101,3,3,1,pakistan,1,0,0,0
196734,6435451,1,4,3,germany,5,6,7,3
196737,12274451,1,1,1,canada,5,0,0,0
196738,18338851,1,1,1,canada,5,0,0,0
196739,18342301,7,7,1,united states,9,9,1,4
196740,18351251,2,5,2,germany,7,4,0,0
196741,18357601,4,4,1,turkey,5,0,0,0
196742,18378301,1,9,6,united states,3,8,7,3
196745,3158851,1,28,16,greece,3,7,3,7
196749,3237101,1,13,7,turkey,6,7,6,7
196751,8707001,3,68,21,spain,3,3,7,3
196754,19453501,1,5,4,united states,3,5,0,0
196755,19455451,1,1,1,united states,2,0,0,0
196756,19472401,1,1,1,china,5,0,0,0
196758,2060851,1,7,4,spain,8,0,0,0
196759,2069701,1,8,7,germany,6,3,6,7
196772,11084101,2,2,1,united states,5,0,0,0
196773,11097351,1,2,2,indonesia,3,3,0,0
196774,12291801,1,2,2,united kingdom,5,0,0,0
196775,18405651,0,1,2,brazil,5,0,0,0
196776,18425801,2,2,1,united states,5,0,0,0
196777,18466851,1,1,1,united states,5,0,0,0
196778,19487901,1,1,1,india,5,0,0,0
196787,3320201,1,1,1,united states,3,0,0,0
196794,10866651,5,10,2,united kingdom,3,7,6,7
196795,11107051,2,7,3,india,3,7,4,0
196796,12294651,1,8,7,russian federation,5,0,0,0
196807,18488801,0,0,1,hong kong,5,0,0,0
196808,18495301,1,2,2,china,5,0,0,0
196809,18516451,9,9,1,india,9,6,9,7
196810,18559501,1,3,2,india,5,0,0,0
196811,18581201,3,7,2,canada,6,2,2,3
196812,18585501,1,1,1,united states,4,0,0,0
196813,18587701,1,1,1,pakistan,5,0,0,0
196814,18592351,1,3,2,united states,5,0,0,0
196815,18612751,1,7,5,france,1,5,3,5
196816,18627001,1,1,1,united states,5,0,0,0
196817,18634551,1,1,1,ireland,5,0,0,0
196818,18636551,1,1,1,china,5,0,0,0
196819,18661151,2,2,1,russian federation,5,0,0,0
196823,4397851,1,10,7,spain,2,3,2,4
196833,8103401,1,4,4,united states,3,3,3,3
196835,12315551,4,4,1,united states,3,4,0,0
196836,12336801,3,9,3,india,4,11,0,0
196840,4424001,1,1,1,united states,3,0,0,0
196847,10909551,4,4,1,china,5,0,0,0
196848,10914001,3,11,3,united states,6,3,6,5
196849,10932001,0,2,3,spain,5,0,0,0
196850,10944801,1,3,2,algeria,6,5,0,0
196851,10949651,4,9,2,united kingdom,4,0,0,0
196852,10955901,1,11,8,israel,3,7,3,6
196853,10957501,3,11,3,united states,5,3,3,2
196854,10968151,1,2,2,united states,5,0,0,0
196855,18194801,2,2,1,united states,4,0,0,0
196856,18205901,0,0,1,united states,4,0,0,0
196857,18217151,1,3,2,india,3,7,5,0
196858,18690051,1,3,2,united states,4,7,0,0
196859,18690151,2,2,1,united states,4,0,0,0
196860,18714951,2,7,3,india,6,5,0,0
196875,12339301,1,1,1,taiwan province of china,7,0,0,0
196876,12361103,3,3,1,norway,6,7,4,0
196877,12364001,2,2,1,china,5,0,0,0
196878,12366401,2,6,3,france,2,4,7,3
196879,12384351,0,0,1,canada,5,0,0,0
196880,18723001,1,1,1,romania,4,0,0,0
196882,426518,1,6,4,czech republic,3,3,8,0
196886,3436202,1,1,1,germany,3,0,0,0
196887,3437701,1,2,2,india,5,0,0,0
196891,3524551,1,1,1,united states,3,0,0,0
196892,3558501,1,1,1,uruguay,5,0,0,0
196896,5536551,5,11,2,italy,5,0,0,0
196899,12414151,4,9,2,spain,8,14,1,5
196900,12421251,4,4,1,china,1,7,5,0
196901,12427601,1,5,3,iran (islamic republic of),5,0,0,0
196902,12440001,2,2,1,brazil,5,0,0,0
196903,12450101,2,7,3,china,6,3,6,5
196904,12465651,2,2,1,turkey,5,0,0,0
196913,426940,2,4,2,india,3,0,0,0
196920,427209,1,4,3,saudi arabia,5,0,0,0
196921,427210,1,2,2,singapore,3,3,0,0
196927,12481051,1,1,1,india,5,0,0,0
196928,12498801,1,1,1,united states,5,0,0,0
196929,12502101,1,1,1,india,5,0,0,0
196943,11107301,0,0,1,united states,3,0,0,0
196944,11111051,3,3,1,united states,6,7,5,0
196945,11130201,1,1,1,portugal,4,0,0,0
196946,11133101,1,7,4,united kingdom,7,3,6,3
196947,11148001,3,3,1,united states,5,0,0,0
196948,11154801,0,0,1,united states,5,0,0,0
196949,11160001,2,8,3,united states,6,3,4,0
196950,11162101,1,1,1,united states,5,0,0,0
196951,11163101,4,8,2,united states,3,7,3,7
196952,12516901,2,5,2,thailand,6,5,0,0
196953,12522401,2,2,1,india,5,0,0,0
196954,12541351,1,5,3,united states,7,0,0,0
196955,12547101,0,0,1,singapore,5,0,0,0
196956,12562601,2,6,3,serbia,6,7,5,0
196957,427495,3,14,4,singapore,4,2,4,8
196973,11171801,1,1,1,united states,4,0,0,0
196974,11172951,2,6,3,united states,7,0,2,2
196975,11173651,0,0,1,israel,5,0,0,0
196976,11181051,1,1,1,south korea,4,0,0,0
196977,11185851,3,3,1,india,3,0,0,0
196978,11189601,1,3,2,india,4,0,0,0
196979,11193151,1,14,8,india,2,2,5,0
196980,11202251,2,12,5,netherlands,3,7,5,0
196981,11203401,3,7,2,netherlands,4,0,0,0
196982,11231551,2,5,2,kenya,6,7,5,0
196983,11233301,0,0,1,romania,4,0,0,0
196994,4604901,1,1,1,china,3,0,0,0
196998,5662063,1,8,7,colombia,8,3,3,8
196999,5662089,1,1,1,colombia,3,0,0,0
197000,5662253,1,18,14,colombia,3,3,3,3
197009,18259751,1,1,1,austria,7,0,0,0
197032,10981151,1,1,1,united states,5,0,0,0
197037,428498,1,1,1,united states,3,0,0,0
197039,428701,2,4,2,egypt,7,3,0,0
197042,428761,1,3,2,argentina,7,5,0,0
197051,429313,1,1,1,south korea,4,0,0,0
197055,4902401,1,1,1,canada,3,0,0,0
197078,18263601,0,0,1,czech republic,5,0,0,0
197079,18269151,0,1,2,poland,5,0,0,0
197080,18290251,1,1,1,united states,3,0,0,0
197081,18311051,2,11,5,finland,5,1,1,3
197082,18324701,3,3,1,united states,4,6,4,0
197083,18327151,1,1,1,united states,5,0,0,0
197087,19507351,1,1,1,colombia,4,0,0,0
197090,429457,9,9,1,china,7,1,7,9
197096,429789,1,29,16,viet nam,5,3,3,7
197100,5663702,0,0,1,colombia,3,0,0,0
197104,5705301,1,2,2,united kingdom,2,0,0,0
197106,19514951,4,4,1,united states,1,0,0,0
197107,19526451,3,14,4,india,6,7,2,0
197108,19531551,1,1,1,chile,5,0,0,0
197109,19538401,2,4,2,united states,5,2,0,0
197110,19544451,0,0,1,united states,5,0,0,0
197123,6454751,1,2,2,germany,3,0,0,0
197127,8493351,3,7,2,turkey,5,6,5,0
197131,10989751,1,1,1,canada,3,0,0,0
197132,12573101,5,5,1,united states,3,3,5,0
197133,12573951,2,2,1,ireland,5,0,0,0
197134,12576051,9,9,1,india,3,1,4,14
197135,12582101,1,2,2,sweden,6,5,0,0
197136,12598301,2,2,1,mexico,5,0,0,0
197137,12608601,2,2,1,colombia,5,0,0,0
197156,8612951,1,14,14,united states,3,3,3,3
197158,10991651,7,44,6,south korea,5,3,7,1
197159,10994701,4,4,1,india,6,7,4,0
197160,10996901,0,0,1,canada,5,0,0,0
197161,10997051,2,2,1,united states,3,7,0,0
197162,10998001,1,3,2,united states,6,4,0,0
197170,5762251,1,1,1,united states,3,0,0,0
197173,8166251,1,5,3,united states,5,7,0,0
197176,8643651,2,6,3,india,4,6,7,5
197178,8660751,0,0,1,france,3,0,0,0
197180,11010751,2,2,1,united states,4,0,0,0
197181,11246101,0,0,1,united states,5,0,0,0
197182,12609351,1,5,3,united states,3,5,7,0
197183,12609551,1,2,2,jordan,5,0,0,0
197184,12611551,1,1,1,canada,5,0,0,0
197185,430271,2,2,1,spain,6,3,0,0
197195,8707051,1,1,1,bulgaria,5,0,0,0
197196,11293151,0,0,1,spain,5,0,0,0
197197,11295401,6,6,1,pakistan,5,7,3,7
197198,12634351,6,6,1,united states,6,3,4,5
197199,12640201,2,5,2,australia,2,4,5,7
197200,12654951,1,3,2,germany,2,5,0,0
197201,19548151,3,13,4,united states,7,2,0,0
197202,19554901,1,2,2,united states,5,0,0,0
197203,19561851,1,1,1,china,5,0,0,0
197204,19577351,1,1,1,india,5,0,0,0
197205,19577851,0,0,1,algeria,5,0,0,0
197206,19606601,1,2,2,russian federation,5,0,0,0
197207,19608851,4,4,1,germany,5,0,0,0
197212,3610101,2,2,1,united states,6,5,0,0
197216,3655051,1,5,3,pakistan,3,5,1,0
197222,3702651,4,8,2,india,3,9,7,5
197228,4992951,2,2,1,india,5,0,0,0
197231,6468901,2,4,2,india,3,0,0,0
197233,2226701,1,16,9,germany,4,2,4,2
197235,3718251,1,3,3,japan,3,3,3,0
197238,3743151,1,4,4,united states,3,3,0,0
197250,11019301,2,2,1,india,5,0,0,0
197256,2272515,2,6,3,germany,3,4,0,0
197261,5853451,1,1,1,india,3,0,0,0
197275,11318001,1,5,3,poland,7,4,0,0
197276,11318601,2,7,3,united states,3,14,9,1
197278,2275063,1,3,2,united states,5,0,0,0
197284,3822451,1,1,1,united states,5,0,0,0
197292,3913151,1,1,1,italy,3,0,0,0
197299,5855360,0,2,3,india,5,3,0,0
197300,11021151,1,5,3,china,3,5,7,4
197301,12668551,1,1,1,united kingdom,5,0,0,0
197302,12671001,0,0,1,viet nam,5,0,0,0
197303,12678301,2,5,2,united states,5,0,0,0
197304,12691701,0,0,1,united states,5,0,0,0
197307,2276451,2,171,65,united states,6,7,6,7
197311,2276959,0,1,2,portugal,5,0,0,0
197317,4758301,2,54,24,united states,6,3,3,6
197324,11023751,0,0,1,india,5,0,0,0
197325,12694851,1,1,1,united kingdom,5,0,0,0
197326,19631151,2,2,1,united states,7,4,0,0
197329,4049101,1,1,1,netherlands,3,0,0,0
197339,11025951,1,2,2,singapore,5,0,0,0
197340,11036201,1,5,4,ukraine,6,7,5,0
197341,11040551,1,1,1,austria,4,0,0,0
197342,11049251,1,3,3,ghana,5,0,0,0
197343,11049651,1,2,2,united states,5,0,0,0
197344,11058201,1,1,1,united states,5,0,0,0
197345,11073951,0,2,3,united states,5,0,0,0
197346,11077851,1,3,2,canada,6,7,5,0
197347,11078301,1,9,9,united states,3,0,0,0
197348,12712451,1,2,2,united states,5,0,0,0
197349,12732951,2,2,1,taiwan province of china,3,5,0,0
197350,12747051,1,1,1,india,5,0,0,0
197351,12751501,1,1,1,taiwan province of china,5,0,0,0
197352,12774751,1,1,1,india,5,0,0,0
197353,4154651,4,8,2,united states,6,3,6,4
197354,4171001,1,11,9,united states,7,3,5,0
197355,4814951,2,43,15,united states,4,1,7,3
197357,4834201,1,6,4,united states,7,6,7,6
197358,5857251,1,3,2,turkey,5,0,0,0
197360,8755851,2,17,8,united kingdom,6,7,6,7
197361,8772401,1,1,1,italy,3,0,0,0
197363,11095551,1,2,2,australia,5,0,0,0
197384,12784501,10,10,1,united states,6,9,1,4
197398,5893551,1,4,3,germany,3,0,0,0
197401,5922452,4,4,1,india,3,6,6,0
197404,18334201,4,4,1,iran (islamic republic of),5,7,5,0
197405,18341401,1,1,1,japan,7,0,0,0
197406,18364201,0,0,1,switzerland,4,0,0,0
197407,18368901,1,1,1,germany,3,0,0,0
197408,18389251,0,0,1,hungary,4,0,0,0
197409,18398901,2,2,1,united states,5,0,0,0
197411,19659601,1,1,1,china,5,0,0,0
197412,19680351,4,4,1,united states,3,3,0,0
197413,2277567,1,1,1,switzerland,3,0,0,0
197421,5035751,1,12,7,united states,6,7,3,4
197431,8838701,3,3,1,italy,5,0,0,0
197432,18402151,2,4,2,spain,4,2,4,0
197433,19693451,8,8,1,united states,1,4,0,0
197436,430833,1,11,7,united states,2,5,4,5
197447,6539601,1,1,1,united states,3,0,0,0
197450,6548401,1,1,1,south korea,3,0,0,0
197451,6557151,1,1,1,united states,3,0,0,0
197454,11362951,2,2,1,serbia,6,5,0,0
197457,5063351,1,1,1,netherlands,5,0,0,0
197461,6593751,1,1,1,singapore,5,0,0,0
197462,6597501,1,7,6,germany,3,0,0,0
197465,6677201,2,2,1,japan,5,0,0,0
197466,6722851,0,0,1,germany,15,0,0,0
197469,8838251,1,3,2,netherlands,4,0,0,0
197470,8861001,6,6,1,united kingdom,4,2,0,4
197473,8896151,1,6,5,japan,3,3,0,0
197485,8304201,2,2,1,viet nam,3,3,0,0
197486,8325551,1,1,1,turkey,4,0,0,0
197488,8340151,3,3,1,united states,9,1,8,0
197491,11378851,0,1,2,united states,5,0,0,0
197492,18440951,2,2,1,turkey,5,0,0,0
197498,8384101,2,2,1,india,3,5,0,0
197502,8397951,2,6,3,china,5,0,0,0
197504,8403051,3,6,2,mexico,5,0,0,0
197507,8417751,1,2,2,france,10,3,0,0
197513,9005301,1,5,4,united kingdom,8,8,0,0
197516,6736051,0,0,2,united states,15,15,0,0
197519,6765801,1,1,1,united states,5,0,0,0
197524,11391001,1,9,9,united states,3,3,5,9
197525,12804251,2,2,1,united states,5,0,0,0
197526,12816751,3,3,1,india,7,5,0,0
197527,12818301,3,3,1,united states,5,7,5,0
197528,12834851,1,1,1,united kingdom,5,0,0,0
197530,18789751,0,0,1,spain,15,0,0,0
197531,18791501,2,2,1,united states,1,0,0,0
197532,18806601,1,5,3,turkey,3,6,7,3
197533,18831701,1,1,1,united states,4,0,0,0
197535,2277721,1,1,1,united states,3,0,0,0
197536,2277764,1,1,1,united states,3,0,0,0
197537,2277819,1,1,1,united states,5,0,0,0
197541,2278307,1,3,3,nepal,7,3,0,0
197551,19759151,2,5,2,taiwan province of china,2,4,3,5
197552,19766851,1,1,1,ireland,5,0,0,0
197553,19767351,4,8,2,mexico,4,2,4,7
197554,19776152,1,1,1,russian federation,5,0,0,0
197555,19786551,1,1,1,taiwan province of china,5,0,0,0
197556,19805651,0,0,1,canada,3,0,0,0
197557,19805801,2,4,2,taiwan province of china,5,7,5,0
197560,19833801,4,9,2,chile,6,3,3,6
197561,430870,1,1,1,venezuela,3,0,0,0
197566,6015451,1,3,2,brazil,3,3,0,0
197568,6024801,2,9,4,united states,2,11,3,0
197571,6057051,1,1,1,germany,5,0,0,0
197573,11393651,1,1,1,netherlands,5,0,0,0
197574,11433401,1,3,3,united states,5,0,0,0
197575,11434251,4,4,1,united kingdom,3,5,7,0
197576,11461701,1,3,2,ireland,5,0,0,0
197577,11466901,3,15,4,united kingdom,4,7,3,6
197578,11487901,4,4,1,turkey,3,0,0,0
197579,11515551,2,2,1,united states,5,0,0,0
197580,11520901,1,1,1,united states,7,0,0,0
197581,11523401,3,3,1,singapore,5,3,0,0
197582,11528851,0,0,1,viet nam,5,0,0,0
197590,11102401,7,15,2,united states,3,5,0,0
197591,11108151,2,2,1,united states,5,0,0,0
197592,11113451,1,1,1,india,5,0,0,0
197593,11121301,0,0,1,germany,5,0,0,0
197594,11127901,0,0,1,united states,4,0,0,0
197595,11130501,2,2,1,germany,4,0,0,0
197596,11159851,2,2,1,germany,5,0,0,0
197597,11170001,1,1,1,united states,7,0,0,0
197598,11185501,3,6,2,india,5,0,0,0
197599,11196601,2,2,1,china,5,0,0,0
197600,12845151,1,1,1,germany,5,0,0,0
197601,12847951,0,0,1,brazil,5,0,0,0
197602,12850901,0,0,1,italy,5,0,0,0
197603,12851151,5,5,1,united states,5,7,3,7
197604,12851951,3,3,1,united kingdom,5,0,0,0
197605,12856101,0,0,1,netherlands,5,0,0,0
197606,12861851,2,5,2,germany,3,5,8,0
197609,4386701,1,2,2,sweden,3,0,0,0
197611,6938701,1,1,1,canada,3,0,0,0
197618,7031301,2,12,6,india,5,3,5,7
197622,12876801,1,1,1,india,5,0,0,0
197623,12881951,1,1,1,argentina,5,0,0,0
197625,18450101,3,11,3,canada,5,1,14,4
197627,4956701,1,5,3,macedonia,5,5,0,0
197635,8509601,1,2,2,brazil,3,0,0,0
197638,8548351,1,3,2,united states,3,0,0,0
197639,8551651,1,1,1,germany,3,0,0,0
197643,11220701,2,2,1,united states,5,0,0,0
197644,18495751,3,3,1,jordan,4,5,0,0
197645,18518701,1,1,1,united states,5,0,0,0
197646,18529151,1,1,1,mexico,5,0,0,0
197647,18567001,2,2,1,india,4,0,0,0
197648,18571451,0,0,1,canada,5,0,0,0
197649,18852701,2,2,1,china,5,0,0,0
197651,4408251,1,1,1,united states,3,0,0,0
197656,9015001,0,1,2,united kingdom,3,3,0,0
197659,9033551,1,4,4,mexico,5,0,0,0
197661,9047601,6,19,3,united states,14,7,9,1
197664,11535251,1,3,2,japan,5,0,0,0
197665,11539801,2,18,9,south africa,3,7,5,7
197666,11539901,6,20,3,united states,4,5,0,0
197667,11567151,2,2,1,united states,5,0,0,0
197668,11568051,1,4,4,turkey,7,0,0,0
197669,18868151,0,0,1,pakistan,5,0,0,0
197671,4465951,1,1,1,united states,3,0,0,0
197674,4488551,6,6,1,germany,6,7,5,0
197678,18872951,0,0,1,united states,5,0,0,0
197679,18935301,0,0,1,netherlands,5,0,0,0
197680,18938801,2,2,1,viet nam,3,5,0,0
197681,18939151,0,0,1,united kingdom,5,0,0,0
197682,18943701,0,0,1,united states,4,0,0,0
197683,18963401,5,11,2,united states,2,4,2,4
197684,18963651,4,4,1,united states,4,14,3,0
197685,18981701,3,3,1,netherlands,6,5,0,0
197686,18995501,1,1,1,united kingdom,5,0,0,0
197687,18998753,2,10,5,united states,5,3,4,0
197688,19019301,2,10,5,chile,7,6,8,5
197689,19022101,1,1,1,united states,7,0,0,0
197690,19030651,3,3,1,france,2,0,0,0
197698,8614551,4,9,2,united states,11,8,14,2
197701,8639551,1,4,3,united states,3,7,5,0
197707,11235351,1,3,2,mexico,3,5,0,0
197708,11252851,2,2,1,australia,5,0,0,0
197709,11266901,1,1,1,saudi arabia,5,0,0,0
197710,18592851,1,1,1,united states,5,0,0,0
197711,18593801,5,5,1,egypt,5,7,5,0
197716,19042951,2,2,1,peru,5,0,0,0
197717,19066701,0,0,1,germany,5,0,0,0
197728,2281203,2,2,1,netherlands,1,3,0,0
197732,2282051,1,11,11,united states,3,3,3,3
197737,2309351,1,1,1,france,3,0,0,0
197742,8647701,1,3,3,slovakia (slovak republic),5,0,0,0
197745,2385101,2,23,11,israel,4,2,4,3
197750,2496151,1,5,3,india,3,3,0,0
197754,2550701,2,2,1,united kingdom,4,3,0,0
197757,2604851,1,4,4,united kingdom,3,4,3,5
197770,18613501,1,3,3,united states,5,0,0,0
197782,12896001,0,1,2,peru,3,0,0,0
197783,12916151,2,10,4,colombia,3,4,5,0
197792,11286501,1,1,1,india,5,0,0,0
197793,12931001,1,1,1,india,5,0,0,0
197794,12935651,0,0,1,singapore,3,0,0,0
197795,18630351,1,1,1,united states,5,0,0,0
197796,18631001,1,2,2,china,6,5,0,0
197797,18632851,0,0,1,france,5,0,0,0
197798,18646251,1,1,1,united kingdom,4,0,0,0
197799,18653851,0,0,1,australia,5,0,0,0
197800,18670751,1,8,5,united states,7,4,7,5
197801,19088051,0,1,2,singapore,7,15,0,0
197808,11293451,1,1,1,united states,5,0,0,0
197809,11315451,1,1,1,united states,5,0,0,0
197810,11318351,2,4,2,nigeria,3,5,0,0
197811,12945151,1,1,1,india,5,0,0,0
197812,12950351,1,1,1,united kingdom,3,0,0,0
197813,12966701,1,10,7,india,5,0,0,0
197814,12973501,1,2,2,india,5,0,0,0
197815,12974751,1,1,1,india,5,0,0,0
197816,12977251,2,2,1,united kingdom,5,0,0,0
197817,12988051,1,3,2,united states,4,0,0,0
197818,12988201,8,8,1,france,14,2,9,1
197819,13024751,1,1,1,nigeria,5,0,0,0
197820,13036151,1,2,2,india,3,0,0,0
197821,13046651,5,10,2,malaysia,4,3,6,3
197822,13047551,1,1,1,united states,5,0,0,0
197823,13048951,1,1,1,sri lanka,5,0,0,0
197824,5164951,2,59,27,spain,7,3,3,6
197828,8913251,1,5,4,israel,5,7,3,0
197829,8915151,1,5,5,united states,7,4,3,0
197831,8945751,1,4,4,ireland,5,0,0,0
197835,11338551,3,3,1,malaysia,6,3,5,0
197836,19103451,2,2,1,spain,5,0,0,0
197837,19103601,2,10,4,czech republic,5,7,8,7
197838,19115251,10,10,1,india,6,9,5,0
197839,19117451,1,3,2,india,2,0,0,0
197840,19134001,11,11,1,india,3,6,3,3
197841,19134351,0,0,1,germany,4,0,0,0
197842,19151001,2,2,1,france,2,4,0,0
197844,19847001,0,0,1,united states,2,0,0,0
197845,8952201,1,3,2,united states,3,7,3,0
197846,13068801,0,0,1,sweden,4,0,0,0
197847,13074251,1,1,1,germany,5,0,0,0
197848,13105401,1,4,3,germany,2,2,4,0
197849,13111801,4,4,1,united states,14,5,0,0
197850,19153051,3,7,2,india,5,7,3,7
197851,19168751,2,2,1,canada,5,0,0,0
197852,19184251,0,0,1,united states,5,0,0,0
197853,19188201,2,4,2,taiwan province of china,7,0,7,5
197854,19196601,2,5,2,india,6,3,2,4
197855,19197001,2,2,1,ethiopia,5,0,0,0
197856,19205451,2,2,1,south korea,5,0,0,0
197857,19216451,4,4,1,saudi arabia,4,0,0,0
197858,19242801,2,5,2,india,3,7,5,0
197859,19888101,2,5,2,romania,3,6,7,2
197860,19890501,2,4,2,united states,3,4,5,0
197861,19895201,2,2,1,united states,2,4,0,0
197862,19895301,5,11,2,poland,9,9,9,9
197863,19895351,1,1,1,india,5,0,0,0
197864,19903651,1,2,2,united kingdom,2,3,0,0
197865,19904801,1,1,1,india,5,0,0,0
197881,5199101,0,0,1,spain,5,0,0,0
197882,5243151,1,1,1,singapore,3,0,0,0
197889,18688701,3,3,1,south africa,7,5,0,0
197892,431837,0,5,6,taiwan province of china,3,3,5,0
197897,431988,1,1,1,ireland,5,0,0,0
197913,5257951,1,2,2,india,5,0,0,0
197916,11572201,5,5,1,united states,5,0,0,0
197917,11573851,1,1,1,united states,4,0,0,0
197925,432858,1,1,1,united states,3,0,0,0
197929,433276,1,1,1,united states,3,0,0,0
197931,7153551,0,0,1,brazil,15,0,0,0
