,event1,event2,event3,event4
1355,A,G,C,F
1356,E,C,G,M
1357,C,G,B,G
1358,E,G,G,G
1359,A,C,G,C
1360,H,B,G,A
1361,A,B,G,F
1362,B,G,A,B
1363,C,G,B,G
1364,A,G,C,G
1365,K,H,G,C
1366,G,G,A,G
1367,G,B,G,B
1368,K,C,G,B
1369,B,B,G,H
1370,A,B,B,C
1371,B,K,A,A
1372,B,B,B,A
1373,A,G,C,G
1374,E,G,G,A
1375,E,C,C,A
1376,A,G,B,M
1377,G,E,G,C
1378,G,G,G,F
1379,G,C,G,A
1380,C,C,F,G
1381,G,G,B,F
1382,B,G,F,G
1383,E,M,A,B
1384,E,C,H,G
1385,E,H,G,B
1386,K,G,G,B
1387,B,B,B,G
1388,E,G,B,G
1389,G,B,C,F
1390,E,A,G,B
1391,A,A,G,G
1392,B,G,B,B
1393,B,B,B,G
1394,B,G,B,A
1395,B,B,G,G
1396,M,G,G,B
1397,E,G,G,B
1398,G,G,G,A
1399,G,B,B,A
1400,B,H,G,L
1401,C,G,G,G
1402,E,H,G,M
1403,B,C,B,G
1404,E,A,B,G
1405,G,A,A,C
1406,H,G,B,H
1407,G,B,B,B
1408,E,B,B,B
1409,G,F,G,G
1410,G,K,G,B
1411,M,M,B,G
1412,E,B,C,A
1413,G,C,G,C
1414,B,K,G,B
1415,G,B,G,G
1416,E,B,G,G
1417,G,G,G,B
1418,G,A,H,B
1419,G,B,B,G
1420,C,B,G,C
1421,G,G,G,C
1422,M,G,C,G
1423,H,G,G,B
1424,C,G,B,G
1425,A,A,A,B
1426,A,G,B,G
1427,E,B,G,G
1428,A,B,G,G
1429,G,B,B,G
1430,A,M,G,C
1431,G,G,G,B
1432,H,C,H,Q
1433,G,E,G,F
1434,G,A,C,A
1435,B,F,C,B
1436,G,G,G,B
1437,A,B,B,C
1438,A,B,G,B
1439,G,B,B,C
1440,E,A,C,C
1441,G,B,G,F
1442,C,C,B,M
1443,B,C,G,F
1444,G,G,B,A
1445,G,G,B,A
1446,E,A,C,C
1447,G,G,C,B
1448,G,G,G,G
1449,G,B,M,A
1450,B,C,G,M
1451,G,G,B,G
1452,G,G,G,F
1453,E,B,C,C
1454,B,B,B,G
1455,A,G,B,F
1456,C,B,G,G
1457,E,G,C,G
1458,B,G,G,C
1459,G,G,B,B
1460,G,G,Q,B
1461,A,A,G,E
1462,F,E,B,B
1463,G,B,H,D
1464,B,A,G,G
1465,B,C,B,C
1466,G,G,G,G
1467,G,G,B,F
1468,E,G,G,G
1469,E,B,G,B
1470,B,B,B,G
1471,G,G,A,G
1472,B,G,G,B
1473,E,B,B,D
1474,B,G,G,B
1475,E,H,B,M
1476,B,G,C,B
1477,E,B,C,C
1478,E,G,G,B
1479,E,B,C,E
1480,E,G,B,G
1481,C,B,K,B
1482,G,C,G,B
1483,G,G,A,B
1484,G,B,A,B
1485,G,B,B,A
1486,G,G,G,G
1487,K,E,G,B
1488,B,E,B,F
1489,B,B,G,G
1490,G,B,C,H
1491,G,A,G,G
1492,C,G,B,M
1493,A,B,B,G
1494,C,B,B,G
1495,G,G,G,G
1496,G,G,B,G
1497,E,B,C,G
1498,G,G,G,C
1499,B,C,G,G
1500,G,G,B,G
1501,G,C,C,B
1502,C,B,B,B
1503,G,A,G,C
1504,G,G,G,G
1505,A,G,G,C
1506,G,F,G,G
1507,B,G,B,G
1508,G,A,B,C
1509,B,G,F,C
1510,G,G,G,B
1511,G,A,B,C
1512,E,K,G,B
1513,E,H,G,F
1514,G,C,M,C
1515,G,G,G,G
1516,G,G,B,C
1517,G,G,G,A
1518,B,A,B,B
1519,G,G,K,B
1520,G,G,B,B
1521,B,B,B,G
1522,C,G,B,G
1523,E,G,B,G
1524,E,B,B,G
1525,G,G,A,G
1526,E,C,G,C
1527,E,A,C,G
1528,G,G,G,C
1529,H,B,A,F
1530,G,B,G,B
1531,F,B,C,G
1532,A,A,C,C
1533,G,G,G,G
1534,B,G,B,F
1535,G,C,G,G
1536,E,A,B,B
1537,G,B,B,B
1538,E,G,B,C
1539,B,F,G,H
1540,G,G,H,G
1541,G,B,D,C
1542,G,G,C,G
1543,G,G,H,G
1544,E,G,G,G
1545,F,G,G,G
1546,G,G,C,A
1547,G,C,G,G
1548,G,H,G,G
1549,G,C,G,G
1550,E,G,B,C
1551,E,C,F,G
1552,E,G,M,B
1553,E,A,B,B
1554,E,A,G,G
1555,K,M,A,C
1556,G,B,G,A
1557,B,B,G,C
1558,H,G,B,A
1559,A,B,G,G
1560,B,B,G,G
1561,H,G,G,B
1562,G,G,H,B
1563,A,B,A,C
1564,B,G,G,G
1565,H,B,G,B
1566,B,G,B,C
1567,G,C,C,C
1568,C,Q,B,G
1569,E,E,G,G
1570,G,A,C,G
1571,E,G,B,G
1572,G,G,G,C
1573,G,C,A,G
1574,A,B,H,G
1575,C,G,B,C
1576,E,G,A,E
1577,E,B,G,B
1578,B,G,B,F
1579,B,G,G,G
1580,C,G,C,G
1581,G,G,A,G
1582,A,G,B,G
1583,G,G,B,B
1584,A,G,G,G
1585,G,B,A,G
1586,B,C,A,G
1587,G,A,G,G
1588,G,B,G,B
1589,G,G,B,B
1590,G,B,G,G
1591,G,G,B,H
1592,G,G,M,C
1593,B,G,G,B
1594,G,G,G,H
1595,E,G,G,G
1596,E,G,H,G
1597,C,G,B,C
1598,B,B,G,M
1599,E,G,A,C
1600,C,A,B,H
1601,G,A,G,C
1602,G,B,A,G
1603,G,A,F,B
1604,G,C,B,B
1605,G,G,B,B
1606,B,G,G,N
1607,G,E,G,G
1608,G,E,G,C
1609,G,B,A,G
1610,G,G,B,G
1611,B,G,B,B
1612,E,B,B,G
1613,G,B,B,G
1614,E,G,G,B
1615,H,H,G,G
1616,G,G,B,H
1617,G,C,B,A
1618,G,G,G,F
1619,C,B,G,C
1620,G,G,G,G
1621,A,G,G,G
1622,B,M,C,A
1623,G,B,G,G
1624,B,G,G,B
1625,H,B,B,G
1626,G,B,G,B
1627,A,C,B,B
1628,C,G,A,Q
1629,E,C,B,C
1630,B,B,H,B
1631,B,B,B,F
1632,E,E,C,C
1633,G,B,G,B
1634,G,B,B,B
1635,B,G,G,B
1636,M,C,H,G
1637,B,G,G,A
1638,G,A,G,G
1639,G,F,B,Q
1640,B,C,G,A
1641,B,B,G,C
1642,G,B,B,A
1643,G,B,B,B
1644,G,C,B,B
1645,G,B,B,B
1646,E,G,G,A
1647,G,B,B,F
1648,G,B,G,B
1649,A,B,G,B
1650,G,G,A,G
1651,C,B,B,G
1652,A,A,A,A
1653,B,G,G,M
1654,B,H,H,G
1655,G,G,G,E
1656,B,B,G,M
1657,E,H,A,C
1658,B,B,B,G
1659,B,G,B,A
1660,G,G,G,B
1661,B,E,G,G
1662,G,B,B,A
1663,A,G,B,M
1664,E,B,H,B
1665,G,C,G,G
1666,E,G,G,A
1667,G,B,G,B
1668,G,C,B,B
1669,G,C,C,C
1670,G,E,B,G
1671,B,G,G,G
1672,G,B,G,C
1673,G,A,C,A
1674,F,B,G,C
1675,G,B,G,G
1676,G,B,B,C
1677,G,B,G,G
1678,E,B,H,C
1679,G,B,A,G
1680,H,B,B,G
1681,H,B,G,B
1682,B,C,G,C
1683,B,G,B,M
1684,G,A,B,C
1685,B,G,G,G
1686,G,B,B,B
1687,G,C,B,B
1688,G,G,G,C
1689,G,A,G,B
1690,H,F,G,C
1691,E,D,G,C
1692,G,C,M,G
1693,G,G,C,G
1694,G,B,A,G
1695,B,C,G,B
1696,G,E,G,B
1697,B,G,B,C
1698,G,G,A,M
1699,G,B,M,C
1700,B,B,G,B
1701,B,G,A,C
1702,E,G,B,F
1703,A,G,G,B
1704,E,C,G,B
1705,G,G,B,F
1706,G,G,C,C
1707,G,G,G,C
1708,B,G,G,G
1709,G,B,B,G
1710,C,G,B,G
1711,G,G,B,G
1712,E,B,B,G
1713,G,B,A,G
1714,C,G,B,B
1715,B,G,B,B
1716,E,G,G,B
1717,E,G,C,C
1718,G,B,B,G
1719,C,G,B,G
1720,B,G,B,G
1721,G,G,G,B
1722,M,B,G,B
1723,A,C,G,B
1724,B,B,B,B
1725,G,B,B,B
1726,A,K,A,C
1727,E,B,B,A
1728,B,G,C,C
1729,E,G,F,B
1730,E,B,C,N
1731,B,G,B,F
1732,G,G,C,A
1733,E,M,B,B
1734,B,G,G,A
1735,H,C,B,C
1736,M,B,B,C
1737,B,G,C,F
1738,G,A,G,H
1739,E,G,G,B
1740,G,E,B,G
1741,E,G,B,G
1742,H,G,B,A
1743,E,B,B,A
1744,H,G,M,B
1745,A,B,B,Q
1746,G,G,B,G
1747,G,G,C,G
1748,H,G,H,B
1749,E,G,G,B
1750,B,H,B,A
1751,A,B,G,C
1752,B,G,H,A
1753,B,G,B,H
1754,G,B,G,B
1755,G,A,G,C
1756,C,G,B,P
1757,G,G,G,G
1758,B,B,B,A
1759,C,G,B,A
1760,E,B,G,B
1761,G,G,B,B
1762,B,B,G,B
1763,C,G,Q,B
1764,G,G,M,C
1765,E,G,G,C
1766,G,B,C,A
1767,G,B,H,G
1768,G,B,G,B
1769,E,B,C,G
1770,G,G,B,G
1771,G,G,B,G
1772,G,B,B,B
1773,A,B,G,B
1774,G,G,G,B
1775,G,B,G,B
1776,G,B,B,B
1777,A,A,C,G
1778,E,B,G,G
1779,B,E,G,C
1780,G,E,C,C
1781,G,G,B,Q
1782,E,M,G,F
1783,C,G,B,F
1784,G,H,G,G
1785,B,G,G,A
1786,B,B,B,G
1787,G,G,C,B
1788,G,B,B,G
1789,G,G,G,Q
1790,B,B,G,F
1791,E,G,A,C
1792,G,C,B,F
1793,A,C,G,C
1794,B,G,B,B
1795,G,B,C,G
1796,G,B,G,G
1797,G,G,H,B
1798,B,B,G,A
1799,E,B,C,G
1800,A,G,M,G
1801,G,B,C,B
1802,B,B,F,G
1803,E,F,M,G
1804,C,B,E,B
1805,G,K,G,G
1806,G,G,G,C
1807,M,B,C,G
1808,B,A,A,Q
1809,E,E,B,C
1810,A,G,C,B
1811,B,G,F,G
1812,B,B,C,C
1813,D,B,B,C
1814,G,C,G,B
1815,B,G,A,B
1816,C,H,B,B
1817,E,B,G,B
1818,G,B,C,B
1819,E,B,G,C
1820,G,B,B,C
1821,E,G,B,B
1822,G,B,B,B
1823,E,B,H,B
1824,E,A,C,C
1825,G,G,B,A
1826,A,B,C,C
1827,G,M,A,B
1828,G,B,G,B
1829,G,B,A,G
1830,G,K,G,G
1831,G,H,G,C
1832,B,B,A,B
1833,G,B,A,C
1834,G,G,M,G
1835,C,C,C,G
1836,G,G,F,G
1837,K,B,A,B
1838,M,A,G,A
1839,G,G,F,D
1840,A,B,G,B
1841,G,E,B,C
1842,G,B,B,B
1843,E,B,G,A
1844,B,D,B,C
1845,E,G,M,G
1846,G,F,B,B
1847,G,B,B,B
1848,G,B,B,H
1849,E,B,G,A
1850,E,B,G,F
1851,E,G,C,D
1852,G,A,G,B
1853,G,B,F,G
1854,G,G,B,G
1855,B,B,G,B
1856,B,G,B,G
1857,B,G,G,B
1858,G,G,B,B
1859,M,G,G,F
1860,C,B,G,C
1861,G,G,A,B
1862,H,G,G,A
1863,E,A,B,G
1864,G,G,B,B
1865,G,G,A,C
1866,A,G,L,G
1867,H,G,G,G
1868,B,G,G,B
1869,G,B,M,C
1870,B,E,G,C
1871,E,G,G,B
1872,B,B,B,G
1873,E,K,G,B
1874,B,C,C,B
1875,K,G,H,B
1876,E,C,B,G
1877,G,C,B,G
1878,G,B,G,G
1879,G,G,A,G
1880,C,B,G,B
1881,G,B,B,B
1882,B,G,A,G
1883,E,B,B,C
1884,C,B,C,B
1885,G,G,B,F
1886,E,B,G,B
1887,G,C,G,G
1888,E,G,B,C
1889,B,G,B,A
1890,C,B,G,G
1891,B,C,C,A
1892,C,G,C,G
1893,B,B,G,B
1894,C,C,C,G
1895,G,G,B,M
1896,A,G,G,G
1897,G,B,B,G
1898,C,B,G,G
1899,K,G,G,G
1900,G,G,G,C
1901,B,C,C,B
1902,G,B,G,C
1903,E,G,G,B
1904,E,G,G,F
1905,G,C,C,A
1906,G,B,B,B
1907,B,B,G,B
1908,G,B,Q,G
1909,B,G,F,C
1910,C,B,A,B
1911,A,H,G,B
1912,C,C,C,C
1913,G,B,B,C
1914,E,G,B,A
1915,G,G,C,C
1916,G,B,C,C
1917,H,A,B,C
1918,H,B,C,A
1919,G,G,C,C
1920,G,A,C,B
1921,B,C,B,B
1922,B,B,F,B
1923,G,B,H,F
1924,C,G,M,G
1925,G,B,F,G
1926,E,A,G,G
1927,B,B,A,F
1928,B,B,M,G
1929,E,B,G,B
1930,G,G,G,B
1931,B,B,A,F
1932,C,A,C,B
1933,A,G,G,G
1934,G,B,H,G
1935,G,G,B,B
1936,C,B,G,G
1937,C,B,A,B
1938,B,C,M,M
1939,B,A,C,B
1940,B,E,G,B
1941,E,B,F,A
1942,G,G,C,C
1943,E,B,G,B
1944,G,G,F,F
1945,B,B,G,B
1946,G,A,G,G
1947,C,M,C,B
1948,E,Q,B,G
1949,G,Q,E,Q
1950,G,G,B,B
1951,H,B,G,G
1952,B,G,B,G
1953,E,H,E,F
1954,B,B,B,B
1955,C,G,D,C
1956,G,C,M,G
1957,B,H,G,B
1958,G,A,B,B
1959,E,C,C,A
1960,C,D,G,B
1961,E,G,C,G
1962,G,A,F,A
1963,C,B,G,H
1964,E,C,G,G
1965,C,G,F,G
1966,A,A,B,B
1967,E,B,G,G
1968,G,G,G,A
1969,A,B,A,B
1970,G,C,B,C
1971,C,G,D,G
1972,G,G,B,G
1973,G,B,B,A
1974,A,B,M,B
1975,E,C,B,F
1976,G,G,B,G
1977,G,B,A,G
1978,C,B,C,B
1979,B,M,G,Q
1980,B,B,B,B
1981,B,G,G,A
1982,C,G,E,F
1983,B,B,G,B
1984,G,B,B,G
1985,G,M,B,G
1986,G,G,B,F
1987,C,G,B,G
1988,E,G,A,B
1989,E,B,G,B
1990,G,C,B,B
1991,B,C,F,M
1992,C,G,G,A
1993,G,G,H,B
1994,G,G,G,B
1995,G,B,M,B
1996,A,G,G,B
1997,C,G,G,B
1998,E,M,E,B
1999,G,G,G,B
2000,B,G,G,G
2001,G,G,G,G
2002,B,G,G,G
2003,B,G,C,B
2004,Q,G,G,C
2005,G,G,G,G
2006,G,B,B,G
2007,C,B,B,G
2008,G,G,C,B
2009,B,H,G,C
2010,G,B,C,Q
2011,G,B,G,G
2012,G,C,A,B
2013,G,G,G,A
2014,C,G,C,B
2015,H,G,C,B
2016,G,B,B,B
2017,G,G,C,B
2018,B,H,B,D
2019,E,C,B,B
2020,E,C,F,M
2021,B,G,C,G
2022,C,G,G,B
2023,G,B,C,B
2024,B,G,F,G
2025,C,G,A,A
2026,H,G,B,B
2027,C,B,B,G
2028,H,H,H,B
2029,B,G,B,G
2030,E,G,G,B
2031,M,A,G,B
2032,E,B,G,B
2033,G,B,G,B
2034,C,C,G,B
2035,B,G,G,C
2036,G,E,G,B
2037,C,B,C,M
2038,G,A,G,B
2039,G,G,B,G
2040,E,G,G,C
2041,C,G,B,C
2042,H,B,G,B
2043,G,A,C,C
2044,E,C,C,G
2045,G,B,F,B
2046,E,C,B,G
2047,G,G,B,C
2048,B,C,G,Q
2049,G,B,C,G
2050,E,G,G,G
2051,H,G,G,G
2052,B,G,F,G
2053,G,F,G,G
2054,A,B,B,C
2055,E,F,B,C
2056,G,A,C,G
2057,B,H,G,A
2058,A,G,H,C
2059,E,G,G,B
2060,G,B,C,A
2061,G,B,G,B
2062,C,C,G,B
2063,G,G,G,F
2064,E,G,D,G
2065,C,G,G,C
2066,E,B,C,G
2067,B,B,G,B
2068,B,B,G,G
2069,B,B,A,B
2070,G,B,G,G
2071,E,B,B,B
2072,G,G,G,B
2073,B,G,G,C
2074,B,G,C,Q
2075,G,G,G,D
2076,E,G,G,B
2077,B,B,B,M
2078,K,B,B,B
2079,G,B,G,M
2080,A,G,G,C
2081,A,G,C,G
2082,G,G,B,C
2083,A,B,A,C
2084,G,B,C,C
2085,G,B,A,C
2086,A,A,G,C
2087,G,B,G,C
2088,B,B,G,F
2089,B,B,B,G
2090,G,G,B,B
2091,E,G,C,C
2092,G,B,G,B
2093,C,C,D,B
2094,A,G,B,B
2095,G,G,A,B
2096,A,G,C,G
2097,B,G,C,G
2098,B,G,G,B
2099,G,G,G,B
2100,F,G,G,A
2101,G,B,G,B
2102,G,H,C,G
2103,A,B,A,C
2104,C,B,G,B
2105,B,A,G,B
2106,E,B,C,B
2107,B,G,E,M
2108,B,G,B,B
2109,E,B,A,C
2110,A,G,B,G
2111,E,C,F,G
2112,B,G,C,B
2113,E,G,G,B
2114,C,G,G,F
2115,B,A,G,D
2116,A,A,G,G
2117,B,B,B,B
2118,B,G,G,C
2119,B,B,G,B
2120,B,C,G,Q
2121,G,B,G,G
2122,G,B,B,G
2123,H,G,B,G
2124,B,B,G,G
2125,C,G,G,A
2126,G,G,B,B
2127,G,G,C,A
2128,B,G,H,A
2129,G,G,D,C
2130,B,C,C,B
2131,B,H,B,B
2132,G,B,G,B
2133,A,G,A,G
2134,B,C,B,G
2135,A,C,B,G
2136,G,G,H,G
2137,G,B,G,B
2138,M,A,G,B
2139,G,G,C,G
2140,E,G,M,B
2141,G,B,C,G
2142,C,C,B,F
2143,C,B,H,G
2144,G,G,C,G
2145,G,G,G,Q
2146,A,B,G,B
2147,G,G,B,F
2148,B,B,B,A
2149,E,B,B,G
2150,B,B,A,B
2151,C,B,B,G
2152,E,C,N,F
2153,G,C,G,Q
2154,B,G,C,B
2155,B,M,G,G
2156,C,G,G,C
2157,H,G,Q,B
2158,B,G,B,B
2159,A,G,G,B
2160,A,B,G,A
2161,B,G,B,G
2162,E,C,G,C
2163,E,B,B,B
2164,G,G,H,F
2165,B,G,A,G
2166,B,B,G,G
2167,A,G,F,C
2168,C,C,A,A
2169,G,G,C,B
2170,G,B,C,B
2171,K,H,G,C
2172,G,G,G,Q
2173,K,C,A,G
2174,H,Q,A,G
2175,H,G,G,Q
2176,G,B,B,Q
2177,B,A,F,Q
2178,C,H,G,G
2179,A,B,B,B
2180,G,G,G,A
2181,B,B,B,Q
2182,B,C,Q,B
2183,B,B,C,F
2184,B,G,B,G
2185,G,B,C,G
2186,G,B,B,B
2187,E,B,B,B
2188,B,G,B,C
2189,E,G,B,M
2190,B,G,G,Q
2191,B,B,B,G
2192,C,A,A,G
2193,M,H,B,G
2194,B,B,C,C
2195,G,G,G,B
2196,A,H,G,F
2197,B,B,Q,Q
2198,B,C,A,Q
2199,G,G,C,G
2200,A,G,A,B
2201,G,B,B,B
2202,E,C,B,Q
2203,G,B,B,B
2204,B,G,A,B
2205,A,B,B,G
2206,G,B,F,B
2207,E,B,B,C
2208,E,G,G,A
2209,B,C,G,B
2210,G,C,B,Q
2211,E,G,A,B
2212,G,C,M,A
2213,G,B,G,G
2214,G,H,E,B
2215,B,K,B,G
2216,B,G,M,B
2217,G,A,C,G
2218,G,A,G,Q
2219,G,B,A,B
2220,G,G,B,F
2221,E,G,G,G
2222,H,B,A,C
2223,B,G,G,B
2224,B,G,M,Q
2225,G,B,B,B
2226,E,G,A,Q
2227,A,B,C,G
2228,G,C,G,Q
2229,G,G,A,G
2230,E,B,B,B
2231,A,G,B,B
2232,G,B,C,G
2233,A,B,C,B
2234,A,B,C,B
2235,B,B,G,B
2236,H,B,G,G
2237,C,G,C,G
2238,E,B,A,Q
2239,B,G,C,C
2240,E,B,G,B
2241,E,G,G,G
2242,G,B,B,Q
2243,G,G,C,B
2244,C,C,C,G
2245,C,G,G,A
2246,H,G,C,G
2247,E,H,G,Q
2248,E,B,G,C
2249,E,C,B,G
2250,F,B,C,B
2251,G,G,C,C
2252,G,G,M,B
2253,E,C,C,Q
2254,E,G,B,A
2255,E,G,G,B
2256,B,G,G,G
2257,A,B,B,G
2258,G,B,G,Q
2259,B,F,C,Q
2260,E,G,B,B
2261,G,G,B,B
2262,E,G,C,B
2263,G,M,C,A
2264,E,G,G,G
2265,G,G,G,B
2266,B,B,H,Q
2267,E,G,G,G
2268,E,B,B,G
2269,E,G,B,B
2270,G,K,B,B
2271,B,B,C,C
2272,E,B,B,G
2273,G,B,M,Q
2274,B,B,C,B
2275,H,B,G,Q
2276,C,B,B,Q
2277,G,G,A,Q
2278,G,B,C,Q
2279,G,B,F,G
2280,G,G,B,Q
2281,B,A,B,B
2282,E,B,C,Q
2283,C,G,C,B
2284,G,C,C,Q
2285,B,G,G,B
2286,E,A,G,Q
2287,B,G,G,B
2288,C,C,G,G
2289,B,C,G,Q
2290,G,C,G,F
2291,G,B,G,G
2292,B,B,B,Q
2293,G,G,G,Q
2294,B,B,B,G
2295,B,G,B,B
2296,C,G,C,G
2297,E,G,B,G
2298,G,B,G,F
2299,Q,B,G,A
2300,F,B,G,Q
2301,G,C,G,C
2302,G,B,B,G
2303,C,A,G,B
2304,E,G,B,G
2305,B,G,B,B
2306,A,H,M,C
2307,G,B,B,G
2308,G,D,G,Q
2309,B,C,B,G
2310,B,H,C,A
2311,B,G,A,G
2312,A,B,C,B
2313,G,H,C,Q
2314,B,G,B,Q
2315,G,G,M,B
2316,G,C,F,B
2317,B,G,A,G
2318,G,G,B,Q
2319,E,G,A,B
2320,G,G,B,G
2321,M,B,G,Q
2322,B,F,C,B
2323,C,H,C,B
2324,E,G,F,B
2325,G,M,H,B
2326,E,B,B,G
2327,G,G,G,G
2328,A,A,G,Q
2329,G,C,G,B
2330,C,B,A,G
2331,G,G,A,Q
2332,E,G,B,Q
2333,E,C,Q,D
2334,G,G,G,G
2335,E,B,A,G
2336,H,G,B,B
2337,A,G,B,G
2338,M,G,A,B
2339,B,B,G,Q
2340,C,H,C,G
2341,E,A,K,B
2342,G,G,B,A
2343,D,G,A,G
2344,K,C,G,B
2345,A,B,H,A
2346,B,C,G,Q
2347,H,B,B,Q
2348,B,G,C,B
2349,H,C,G,B
2350,B,B,C,Q
2351,B,G,G,Q
2352,B,B,A,G
2353,G,G,B,G
2354,G,G,A,Q
2355,G,A,B,G
2356,A,G,B,B
2357,G,H,B,B
2358,G,B,G,Q
2359,E,A,C,Q
2360,H,G,C,E
2361,D,A,A,Q
2362,G,B,G,Q
2363,B,B,B,Q
2364,E,G,G,G
2365,G,G,G,Q
2366,E,C,G,G
2367,C,A,G,G
2368,B,G,G,Q
2369,H,B,B,Q
2370,G,B,B,Q
2371,G,B,B,G
2372,C,G,B,Q
2373,E,G,B,C
2374,B,G,B,Q
2375,E,G,G,G
2376,E,A,G,G
2377,G,A,C,Q
2378,H,B,C,Q
2379,B,G,B,G
2380,G,G,C,Q
2381,G,B,G,Q
2382,B,G,Q,B
2383,G,C,Q,G
2384,G,B,F,C
2385,G,M,F,Q
2386,E,G,Q,G
2387,E,G,G,C
2388,G,C,A,Q
2389,A,G,G,Q
2390,G,H,B,F
2391,G,B,G,Q
2392,G,G,Q,Q
2393,E,A,G,Q
2394,B,B,F,A
2395,E,B,G,G
2396,E,G,F,Q
2397,E,A,C,B
2398,B,B,G,B
2399,A,F,B,M
2400,B,B,G,A
2401,B,B,G,G
2402,B,C,G,B
2403,C,G,B,G
2404,E,G,A,Q
2405,G,G,G,Q
2406,B,A,C,Q
2407,E,G,G,B
2408,C,B,B,A
2409,E,B,B,G
2410,B,B,G,Q
2411,K,G,G,Q
2412,C,B,B,G
2413,C,G,G,G
2414,G,G,C,B
2415,A,C,B,Q
2416,B,B,G,G
2417,B,B,Q,B
2418,B,B,C,G
2419,G,F,B,C
2420,A,B,B,Q
2421,M,B,G,Q
2422,B,H,G,Q
2423,C,G,C,G
2424,E,G,C,G
2425,G,G,B,B
2426,C,B,B,G
2427,G,G,B,A
2428,Q,C,B,G
2429,B,B,G,F
2430,C,B,C,B
2431,M,G,C,B
2432,E,B,B,G
2433,G,G,B,C
2434,E,G,G,B
2435,G,B,G,F
2436,B,G,G,G
2437,G,B,B,A
2438,G,A,C,M
2439,B,G,B,Q
2440,H,H,A,G
2441,E,B,B,Q
2442,G,G,A,Q
2443,B,C,C,Q
2444,C,G,B,G
2445,G,B,B,G
2446,C,G,G,B
2447,E,H,G,G
2448,G,B,G,A
2449,B,G,G,Q
2450,G,G,C,G
2451,E,G,B,A
2452,E,G,B,M
2453,C,B,C,B
2454,G,B,G,G
2455,A,G,G,G
2456,E,B,G,G
2457,G,G,G,G
2458,C,C,B,A
2459,A,B,C,G
2460,C,B,G,F
2461,G,B,A,A
2462,G,G,D,B
2463,B,B,B,A
2464,H,G,M,B
2465,G,G,B,G
2466,A,G,C,G
2467,Q,C,B,G
2468,G,M,A,Q
2469,B,B,C,C
2470,C,A,G,G
2471,H,A,B,G
2472,A,G,B,F
2473,B,H,B,B
2474,G,G,C,D
2475,G,G,A,G
2476,G,A,F,B
2477,G,B,D,C
2478,G,G,G,Q
2479,G,G,B,Q
2480,G,C,G,A
2481,G,B,G,B
2482,G,G,G,C
2483,E,G,B,O
2484,E,H,B,P
2485,Q,G,G,B
2486,G,G,B,Q
2487,A,B,B,G
2488,B,G,F,G
2489,K,G,C,G
2490,Q,G,B,Q
2491,G,C,B,B
2492,G,B,A,E
2493,E,B,G,
2494,G,G,G,
2495,B,B,G,
2496,E,B,B,
2497,E,A,C,
2498,G,C,G,
2499,E,B,G,
2500,C,G,G,
2501,B,G,B,
2502,G,B,C,
2503,E,G,C,
2504,K,C,G,
2505,B,C,B,
2506,G,G,G,
2507,M,G,B,
2508,G,B,B,
2509,B,G,G,
2510,C,H,G,
2511,C,A,G,
2512,G,A,G,
2513,G,B,G,
2514,B,B,B,
2515,C,B,B,
2516,G,B,G,
2517,K,G,C,
2518,C,G,B,
2519,A,B,G,
2520,A,C,F,
2521,B,B,B,
2522,B,B,B,
2523,K,G,G,
2524,E,B,C,
2525,A,C,A,
2526,G,B,G,
2527,G,C,A,
2528,G,G,A,
2529,C,G,E,
2530,B,G,B,
2531,G,B,G,
2532,E,G,Q,
2533,A,M,B,
2534,G,G,G,
2535,A,C,M,
2536,E,G,G,
2537,H,C,A,
2538,C,E,G,
2539,B,A,G,
2540,G,B,G,
2541,G,B,G,
2542,G,G,A,
2543,B,B,G,
2544,C,G,C,
2545,B,E,B,
2546,E,B,B,
2547,G,A,C,
2548,M,G,E,
2549,K,B,B,
2550,B,M,F,
2551,B,G,A,
2552,G,E,B,
2553,A,B,B,
2554,B,A,G,
2555,G,B,C,
2556,C,G,B,
2557,G,H,B,
2558,G,G,C,
2559,C,B,C,
2560,B,B,C,
2561,A,C,B,
2562,G,G,A,
2563,C,B,G,
2564,G,C,C,
2565,C,G,G,
2566,G,B,B,
2567,E,G,C,
2568,B,G,C,
2569,B,C,A,
2570,H,B,C,
2571,C,B,B,
2572,B,B,B,
2573,K,M,B,
2574,C,B,F,
2575,B,G,G,
2576,G,G,G,
2577,E,B,G,
2578,Q,A,G,
2579,B,B,A,
2580,C,B,B,
2581,G,G,C,
2582,B,C,B,
2583,B,B,F,
2584,G,B,B,
2585,A,B,G,
2586,K,G,A,
2587,B,B,G,
2588,B,G,B,
2589,E,G,B,
2590,G,G,B,
2591,B,Q,B,
2592,A,B,G,
2593,G,B,B,
2594,G,C,M,
2595,A,B,B,
2596,G,G,B,
2597,G,G,A,
2598,A,A,C,
2599,A,A,G,
2600,B,B,B,
2601,B,C,B,
2602,G,F,G,
2603,G,C,F,
2604,A,B,B,
2605,E,C,G,
2606,B,B,B,
2607,A,F,B,
2608,A,C,G,
2609,G,G,Q,
2610,G,G,B,
2611,G,B,G,
2612,B,B,G,
2613,B,G,G,
2614,B,C,G,
2615,G,G,C,
2616,G,G,F,
2617,K,B,B,
2618,G,B,B,
2619,G,B,C,
2620,B,B,G,
2621,K,M,G,
2622,B,G,B,
2623,E,G,B,
2624,B,B,A,
2625,G,B,B,
